,mmsi,vessel_name,vessel_type,flag_country
90,636019363,HAUT BRION,Cargo,Liberia
91,416000662,YUNG SHENG TSAI NO33,Fishing,Taiwan
92,414492000,JIN MAN HUA 1,Cargo,China
93,209317000,CYMONA STAR,Cargo,Cyprus
94,538007135,PAN COSMOS,Cargo,Marshall Islands
95,210266000,KOULITSA 2,Cargo,Cyprus
96,416000521,AN WEN FA NO.22,Fishing,Taiwan
97,440052000,ST CHERRY,Cargo,South Korea
98,477815400,COSCO JINGGANGSHAN,Cargo,Hong Kong
99,373190000,TTM HARVEST,Cargo,Panama
100,374275000,IYO SEA,Cargo,Panama
101,416002804,SYU MAN CAI,Fishing,Taiwan
102,416004262,UNAVAILABLE,Fishing,Taiwan
103,209783000,TROODOS AIR,Cargo,Cyprus
104,372135000,CAPE PROGRESS,Cargo,Panama
105,636015455,BUENOS AIRES,Cargo,Liberia
106,374398000,NSU ZENITH,Cargo,Panama
107,636019508,MOUNT STEELE,Cargo,Liberia
108,477150700,G. ACE,Cargo,Hong Kong
109,431933000,CAPE SAPPHIRE,Cargo,Japan
110,373788000,GLOBAL ROSE,Cargo,Panama
111,564830000,RTM DRAKE,Cargo,Singapore
112,357055000,WAN HE,Cargo,Panama
113,413983000,SHI DAI 20,Cargo,China
114,431011253,UNAVAILABLE,Fishing,Japan
115,548908000,LAKAS,Cargo,Philippines
116,432995000,MIYARABI2,Cargo,Japan
117,432950000,CENTAURUS DREAM,Cargo,Japan
118,538008571,GOLDEN CHAMPION,Cargo,Marshall Islands
119,352250000,HL SHIKOKU,Cargo,Panama
120,538002850,ALIKI,Cargo,Marshall Islands
121,477732100,IONA ISLAND,Cargo,Hong Kong
122,431780000,DYNAGREEN,Cargo,Japan
123,354429000,GLOBAL KOMA,Cargo,Panama
124,229190000,CMA CGM JULES VERNE,Cargo,Malta
125,636022070,TRUE CRUSADER,Cargo,Liberia
126,353738000,SPRING SAMCHEONPO,Cargo,Panama
127,256919000,V DUE,Cargo,Malta
128,636017423,THEMIS TRIUMPH,Cargo,Liberia
129,431006842,UNAVAILABLE,Fishing,Japan
130,352850000,SM PUMA,Cargo,Panama
131,477434200,BUDAPEST BRIDGE,Cargo,Hong Kong
132,311000383,AFRICAN JAY,Cargo,Bahamas
133,477007100,OOCL BUSAN,Cargo,Hong Kong
134,373394000,AQUILA GLORY,Cargo,Panama
135,430004154,SHINHO,Cargo,
136,431400639,MARUMASA NO5,Cargo,Japan
137,431001214,RYUNAN II,Cargo,Japan
138,431018711,MARUMASA NO.6,Cargo,Japan
139,431017484,"HINATAMARU NO,38",Cargo,Japan
140,369207000,DANIEL K. INOUYE,Cargo,USA
141,431005885,KAIHO 2,Cargo,Japan
142,431007895,SHOREI,Cargo,Japan
143,431006343,KAIOU MARU,Cargo,Japan
144,431680033,NO7 TAIKAI MARU,Cargo,Japan
145,374572000,SHENG LE B,Cargo,Panama
146,373137000,PAN FREEDOM,Cargo,Panama
147,538007488,SM NEWCASTLE,Cargo,Marshall Islands
148,538004391,DOUBLE PRESTIGE,Cargo,Marshall Islands
149,353791000,IYO,Cargo,Panama
150,431010465,NIRAIKANAI 2,Cargo,Japan
151,636017422,KAIROS TRIUMPH,Cargo,Liberia
152,431010652,UMIKAJI,Cargo,Japan
153,477698400,MILD WALTZ,Cargo,Hong Kong
154,431000852,NO2.YUSHO MARU,Cargo,Japan
155,431009828,RYUNAN,Cargo,Japan
156,431010753,SHOKA,Cargo,Japan
157,431000375,YUSHO MARU,Cargo,Japan
158,431005211,SEIMEI,Cargo,Japan
159,431013801,DAI51SHINKOUMARU,Cargo,Japan
160,431018305,TOSHIN NO.18,Cargo,Japan
161,431011893,NO.15 ASAHI MARU,Cargo,Japan
162,431008854,SOUHOUMARU NO.8,Cargo,Japan
163,431008624,UNAVAILABLE,Fishing,Japan
164,431244000,CORONA ZENITH,Cargo,Japan
165,431600668,SENSHINMARU,Cargo,Japan
166,431005942,OKISHO MARU NO.1,Cargo,Japan
167,355693000,PAN GLOBAL,Cargo,Panama
168,538008098,SM HEDLAND,Cargo,Marshall Islands
169,440186000,ORIENTAL STAR,Cargo,South Korea
170,477280800,TIMARU STAR,Cargo,Hong Kong
171,374471000,HL BORYEONG,Cargo,Panama
172,431049000,MIYAGAWA MARU,Cargo,Japan
173,636021171,KYTHIRA,Cargo,Liberia
174,374148000,HL KOMIPO,Cargo,Panama
175,357720000,DHUN,Cargo,Panama
176,352978200,GT HERA,Cargo,Panama
177,566049000,CS TRUST,Cargo,Singapore
178,370386000,GLOBAL AQUARIUS,Cargo,Panama
179,538009577,ARACENA CARRIER,Cargo,Marshall Islands
180,636021788,ENERGIA AZALEA,Cargo,Liberia
181,431384000,KAIHOMARU,Fishing,Japan
182,477766900,PACIFIC COURAGE,Cargo,Hong Kong
183,431501646,UNAVAILABLE,Fishing,Japan
184,431006807,NANSEI MARU,Cargo,Japan
185,431680003,18 OKISHOMARU,Cargo,Japan
186,431011905,TAKASAGOMARU NO.8,Cargo,Japan
187,431602019,EIYUUMARU,Cargo,Japan
188,431018746,OKISHO MARU NO7,Cargo,Japan
189,431009343,UNAVAILABLE,Fishing,Japan
190,355106000,EVER BURLY,Cargo,Panama
191,431601989,FUJIMARU,Cargo,Japan
192,431009152,CHIYOMARU,Cargo,Japan
193,372791000,SANTA ADRIANA,Cargo,Panama
194,431680270,RYUJIN MARU,Cargo,Japan
195,351831000,BETULA ARROW,Cargo,Panama
196,431009064,OOKUNI MARU,Fishing,Japan
197,413298950,JIAN YANG HUA QING,Cargo,China
198,412451201,UNAVAILABLE,Fishing,China
199,636020418,STAR JEANNETTE,Cargo,Liberia
200,412416793,75065,Fishing,China
201,412417238,UNAVAILABLE,Fishing,China
202,600001113,TESTSHIP,Fishing,
203,200014433,UNAVAILABLE,Fishing,
204,431014294,UNAVAILABLE,Fishing,Japan
205,431002257,UNAVAILABLE,Fishing,Japan
206,565484000,MAJESTIC SKY,Cargo,Singapore
207,356347000,KEN GOH,Cargo,Panama
208,412449635,UNAVAILABLE,Fishing,China
209,412420588,UNAVAILABLE,Fishing,China
210,412412956,UNAVAILABLE,Fishing,China
211,351962000,ORIENTAL EMERALD,Cargo,Panama
212,311032200,AFRICAN HALCYON,Cargo,Bahamas
213,311091000,SANTA CATHARINA,Cargo,Bahamas
214,477269800,SITC SUBIC,Cargo,Hong Kong
215,412450326,UNAVAILABLE,Fishing,China
216,412435854,UNAVAILABLE,Fishing,China
217,412422834,UNAVAILABLE,Fishing,China
218,412416017,UNAVAILABLE,Fishing,China
219,412418003,UNAVAILABLE,Fishing,China
220,412435369,UNAVAILABLE,Fishing,China
221,305060000,OKEE PEARL,Cargo,Antigua and Barbuda
222,431005951,RYUKYU EXPRESS 2,Cargo,Japan
223,431006557,YUSEI MARU NO.2,Cargo,Japan
224,210322000,VENUS HARMONY,Cargo,Cyprus
225,636018138,AAL SINGAPORE,Cargo,Liberia
226,352898719,KIZUNA 21,Cargo,Panama
227,636017012,JOLANDA,Cargo,Liberia
228,548718000,LUANA SKY,Cargo,Philippines
229,357413000,EVER BRACE,Cargo,Panama
230,371129000,FINCH ARROW,Cargo,Panama
231,370852000,PLEIADES SPIRIT,Cargo,Panama
232,311058000,HALCYON,Cargo,Bahamas
233,431159000,SHOKIMARU NO.36,Fishing,Japan
234,431680212,KARIYUSHI,Cargo,Japan
235,371968000,DS PROSPER,Cargo,Panama
236,565577000,IVS THANDA,Cargo,Singapore
237,538007611,EASTERN HIGHWAY,Cargo,Marshall Islands
238,636017102,MAERSK SARAT,Cargo,Liberia
239,477274900,SITC KWANGYANG,Cargo,Hong Kong
240,636018863,PACIFIC QINGDAO,Cargo,Liberia
241,431018216,URIZUN II,Cargo,Japan
242,413266820,SUZHOUHAO,Cargo,China
243,431680233,WAKANATSU,Cargo,Japan
244,440119000,SUNNY PALM,Cargo,South Korea
245,431013798,HAYATO,Cargo,Japan
246,431004111,UNAVAILABLE,Fishing,Japan
247,477713200,GOLDEN SWIFT,Cargo,Hong Kong
248,431501817,UNAVAILABLE,Fishing,Japan
249,431015139,MANEIMARU NO.15,Cargo,Japan
250,353013000,APOLLON HIGHWAY,Cargo,Panama
251,374294000,PACIFIC SELINA,Cargo,Panama
252,371930000,ASAKAZE,Cargo,Panama
253,352978132,ORIENTAL OAK,Cargo,Panama
254,431018841,UNAVAILABLE,Fishing,Japan
255,431601978,SHIN SATSUMA,Cargo,Japan
256,667001523,JIN HONG DA 16,Cargo,Sierra Leone
257,431000938,KAIMONMARU,Cargo,Japan
258,431019488,YUSHOU MARU NO.3,Cargo,Japan
259,431020016,NAGATOMARU NO38,Cargo,Japan
260,431013036,KAIYO,Cargo,Japan
261,431500262,SEIJINMARU,Cargo,Japan
262,370029000,JUTHA MARITIMO,Cargo,Panama
263,352396000,KOBE GLORIA,Cargo,Panama
264,309955000,ISTRA ACE,Cargo,Azores
265,352506000,PRIME ACE,Cargo,Panama
266,311049600,OPTIMA,Cargo,Bahamas
267,565080000,IVS KINGBIRD,Cargo,Singapore
268,374062000,CAPE HAYATOMO,Cargo,Panama
269,538002418,BANTRY,Cargo,Marshall Islands
270,352001863,HONG TAI 626,Cargo,Panama
271,357673000,SPRING BRIGHT,Cargo,Panama
272,431010129,RYUKYU EXPRESS 5,Cargo,Japan
273,431004469,URIZUN,Cargo,Japan
274,440054000,DH 5,Cargo,South Korea
275,431300595,SYOUSEI,Cargo,Japan
276,312432000,YONG HONG 9,Cargo,Belize
277,431016687,KOUZE,Cargo,Japan
278,431018179,KOUSEI,Cargo,Japan
279,431005074,KYODO MARU,Cargo,Japan
280,431012983,KANETO MARU NO.68,Cargo,Japan
281,605266130,AZAO,Cargo,Algeria
282,431006706,SYOUUN MARU NO.1,Cargo,Japan
283,352001246,REGINA ISLAND,Cargo,Panama
284,431011546,SHIN HOTETU,Cargo,Japan
285,431301756,HITACHIMARU,Cargo,Japan
286,431600137,HOSEKI MARU,Cargo,Japan
287,431101148,FUOU MARU,Cargo,Japan
288,636018985,CL RHINE RIVER,Cargo,Liberia
289,431009101,TENSHO,Cargo,Japan
290,431019818,YUSHIN MARU,Cargo,Japan
291,671999000,MECHAN,Cargo,Togo
292,431500615,WAKAYOSHI MARU NO.5,Cargo,Japan
293,636021095,INTEGRATIVE EARTH,Cargo,Liberia
294,431015007,"TOSHIN_NO,2",Cargo,Japan
295,432753000,KAIYUMARU,Fishing,Japan
296,431016186,AYAHASHI,Cargo,Japan
297,431013747,GENSYUMARU,Cargo,Japan
298,431646000,HOSHO MARU,Fishing,Japan
299,431003354,SHINKOMARU NO.11,Cargo,Japan
300,431005799,GENSEKI 2,Cargo,Japan
301,431600252,TAISEIMARU NO.3,Cargo,Japan
302,431700137,HOKUSHIN MARU,Cargo,Japan
303,431016008,TSUKUMO MARU,Cargo,Japan
304,636015110,COPACABANA,Cargo,Liberia
305,440273000,OSAKA VOYAGER,Cargo,South Korea
306,538009276,CONSERO,Cargo,Marshall Islands
307,431004885,CHIYOMARU,Cargo,Japan
308,353564000,MG MERCURY,Cargo,Panama
309,372534000,ZAMBALES,Cargo,Panama
310,354959000,NAGATO,Cargo,Panama
311,355323000,PACIFIC SPIKE,Cargo,Panama
312,352715000,UNAVAILABLE,Cargo,Panama
313,431006355,SYOHOUMARU,Cargo,Japan
314,412534000,MEI HUA HAI,Cargo,China
315,431003166,FUKUEI MARU,Cargo,Japan
316,248243000,HAMPTON BAY,Cargo,Malta
317,373798000,TOHMISAN MARU,Cargo,Panama
318,372192000,KUMANO,Cargo,Panama
319,312195000,SHENG JIE7,Cargo,Belize
320,431019248,SUMIWAKAMARU NO3,Cargo,Japan
321,431501868,URIZUN NEXT,Cargo,Japan
322,413281350,JOSCO DIANA,Cargo,China
323,431300387,HARIMA MARU,Cargo,Japan
324,352001655,UNAVAILABLE,Cargo,Panama
325,431007155,RYUKYU EXPRESS 3,Cargo,Japan
326,431010989,MIHOMARU NO8,Cargo,Japan
327,352737000,SEIYU,Cargo,Panama
328,373497000,CMB MEDOC,Cargo,Panama
329,431011856,KEITEN,Cargo,Japan
330,567477000,SIRI BHUM,Cargo,Thailand
331,373298000,CORAL QUEEN,Cargo,Panama
332,352001396,LUCKY JULIA,Cargo,Panama
333,431016459,SHOFUKU MARU,Cargo,Japan
334,356396000,EASLINE YANTAI,Cargo,Panama
335,431004129,HISASHIGE 2,Cargo,Japan
336,413144000,XIN HAI KOU,Cargo,China
337,356048000,HAI DUONG 09,Cargo,Panama
338,209870000,ZOE,Cargo,Cyprus
339,431005521,PACIFIC DREAM,Cargo,Japan
340,477722500,TRUST SINGAPORE,Cargo,Hong Kong
341,563118600,ASIATIC QUEST,Cargo,Singapore
342,371136000,MINO III,Cargo,Panama
343,431006365,SUZUKA,Cargo,Japan
344,431602108,RYUSHOMARU,Cargo,Japan
345,431006244,SUMIYOSHI MARU,Cargo,Japan
346,431501229,RYUEI MARU NO8,Cargo,Japan
347,311351000,WESTWOOD VICTORIA,Cargo,Bahamas
348,312983000,FUKUKAWA,Cargo,Belize
349,431005297,UNAVAILABLE,Cargo,Japan
350,431001242,KAIKOUMARU,Cargo,Japan
351,477203300,SITC HOCHIMINH,Cargo,Hong Kong
352,431006647,SEISYU MARU,Cargo,Japan
353,431013593,AOI MARU NO33,Cargo,Japan
354,370135000,PVT DIAMOND,Cargo,Panama
355,431602343,NISSHINMARU,Cargo,Japan
356,431003485,TENJINMARU NO11,Cargo,Japan
357,431012797,KYOWA MARU NO.3,Cargo,Japan
358,309358000,RELIANCE,Cargo,Azores
359,431400428,UNAVAILABLE,Cargo,Japan
360,312856000,XIN HAI HE,Cargo,Belize
361,565264000,VALIANT SUMMER,Cargo,Singapore
362,431600086,NO6 HAKUOUMARU,Cargo,Japan
363,431007271,SHOYO,Cargo,Japan
364,441127000,TY INCHEON,Cargo,South Korea
365,431007084,HARIMIZU,Cargo,Japan
366,440056000,ST BELLA,Cargo,South Korea
367,413456130,XIN MING ZHOU 26,Cargo,China
368,210528000,LMZ BIANCA,Cargo,Cyprus
369,431019703,NANAMI MARU,Cargo,Japan
370,477842600,UNAVAILABLE,Cargo,Hong Kong
371,431015387,HOYO MARU,Cargo,Japan
372,355966000,CAMELLIA ISLAND,Cargo,Panama
373,431007152,MIRAI,Cargo,Japan
374,355558000,BLUE RIDGE HIGHWAY,Cargo,Panama
375,357848000,ARICA BRIDGE,Cargo,Panama
376,373393000,PRT BELLE,Cargo,Panama
377,548974000,OPALO,Cargo,Philippines
378,412419047,UNAVAILABLE,Fishing,China
379,431012794,UNAVAILABLE,Fishing,Japan
380,563161700,WAN HAI 278,Cargo,Singapore
381,563418000,CHITOSE,Cargo,Singapore
382,356968000,GRIFFIN,Cargo,Panama
383,412437888,UNAVAILABLE,Fishing,China
384,412017777,UNAVAILABLE,Fishing,China
385,412450281,UNAVAILABLE,Fishing,China
386,311000169,ULTIMA,Cargo,Bahamas
387,412415078,UNAVAILABLE,Fishing,China
388,412415585,UNAVAILABLE,Fishing,China
389,412417622,UNAVAILABLE,Fishing,China
390,209961000,SOCRATES GRAECIA,Cargo,Cyprus
391,431010373,MIKA MARU,Cargo,Japan
392,431018331,MISAKI 2,Cargo,Japan
393,538007259,HYUNDAI TACOMA,Cargo,Marshall Islands
394,477814500,OCEAN ARTEMIS,Cargo,Hong Kong
395,431004261,KYORAMUN,Cargo,Japan
396,636020905,GLOVIS COMPANION,Cargo,Liberia
397,538003905,GREBE BULKER,Cargo,Marshall Islands
398,440595000,PANALOX NO.501,Fishing,South Korea
399,563057900,STC SENTOSA,Cargo,Singapore
400,431015502,SOSHIN MARU,Cargo,Japan
401,636020672,TAI KINDNESS,Cargo,Liberia
402,431012719,NO.28 NOMURAMARU,Fishing,Japan
403,412280935,HEBEI8589,Fishing,China
404,510060000,TAIYO WAAB,Fishing,Micronesia
405,431005643,SHINPO MARU,Cargo,Japan
406,374113000,MEIYU,Cargo,Panama
407,431008189,SAKURA,Cargo,Japan
408,229598000,VANTAGE,Cargo,Malta
409,431407000,CORONA CITRUS,Cargo,Japan
410,431005964,KOYU MARU,Cargo,Japan
411,367619000,CMA CGM DAKAR,Cargo,USA
412,431000321,NUKUSHINA,Cargo,Japan
413,431001650,WAKAYOSHI MARU,Cargo,Japan
414,257767000,NOCC OCEANIC,Cargo,Norway
415,312429000,RICH GAIN,Cargo,Belize
416,431009158,UNAVAILABLE,Fishing,Japan
417,538005766,EASTERN HOPE,Cargo,Marshall Islands
418,431501764,SUNFLOWER HAKATA,Cargo,Japan
419,431014761,FUKUSHO MARU NO.18,Cargo,Japan
420,671243100,HONG  SEN 6,Cargo,Togo
421,431006442,DAISHIN MARU NO8,Cargo,Japan
422,431004661,YUKAI MARU,Cargo,Japan
423,636015557,GENUINE ACE,Cargo,Liberia
424,352500000,EVER VANTAGE,Cargo,Panama
425,373590000,CAPE PEONY,Cargo,Panama
426,671885000,SKY HARMONY,Cargo,Togo
427,431011131,KOUSHO MARU,Cargo,Japan
428,477681800,SUNNY IVY,Cargo,Hong Kong
429,312750000,CHANG DA,Cargo,Belize
430,563017900,KN ARCADIA,Cargo,Singapore
431,636020732,VITA UNITY,Cargo,Liberia
432,413295960,QING YUN HE,Cargo,China
433,431003628,YUSYUN,Cargo,Japan
434,309681000,GREEN BRAZIL,Cargo,Azores
435,477181900,GLORY SHANGHAI,Cargo,Hong Kong
436,210029000,ELENI,Cargo,Cyprus
437,563142500,WAN HAI 626,Cargo,Singapore
438,440505000,GLOBAL NUBIRA,Cargo,South Korea
439,312506000,FU HAI 8,Cargo,Belize
440,431400181,OKIHARUMARU,Cargo,Japan
441,241166000,COMMON FAITH,Cargo,Greece
442,353584000,FUTURE ASIA I,Cargo,Panama
443,431401059,SEIRYU MARU,Cargo,Japan
444,477107900,SINOTRANS OSAKA,Cargo,Hong Kong
445,431601748,RYUGU SUMIYOSHI MARU,Cargo,Japan
446,431600255,HOKUSEN_MARU NO.16,Cargo,Japan
447,312121000,AN LAN,Cargo,Belize
448,431020187,SETOUCHI,Cargo,Japan
449,356970000,BR FAIRY,Cargo,Panama
450,431000695,WAKAMATSU MARU,Cargo,Japan
451,432667000,TOYOFUJIMARU NO.2,Cargo,Japan
452,356613000,PULAU TIOMAN,Cargo,Panama
453,431008331,SEIZAN MARU NO.28,Cargo,Japan
454,357802000,GRAND QUEST,Cargo,Panama
455,352978272,SUNRISE AUTUMN,Cargo,Panama
456,577238000,ORIENT DYNASTY,Cargo,Vanuatu
457,636015819,GALAXY ACE,Cargo,Liberia
458,431524000,UNAVAILABLE,Fishing,Japan
459,372552000,RISING TIDE,Cargo,Panama
460,431012204,EISEI MARU,Cargo,Japan
461,477615200,HF WEALTH,Cargo,Hong Kong
462,312866000,MING HONG,Cargo,Belize
463,413556780,ZHUCHENGXINZHOU,Cargo,China
464,564619000,APL PUSAN,Cargo,Singapore
465,441487000,PAN AMBER,Cargo,South Korea
466,354587000,SOUTHERN ANGEL,Cargo,Panama
467,414079000,SHENG TAI HAI,Cargo,China
468,354777000,AFRICAN PIPIT,Cargo,Panama
469,431005389,CHURASHIMA,Cargo,Japan
470,431400000,CORONA KINGDOM,Cargo,Japan
471,412419578,UNAVAILABLE,Fishing,China
472,354424000,YACHIYO,Cargo,Panama
473,412451249,UNAVAILABLE,Fishing,China
474,100900001,UNAVAILABLE,Cargo,
475,563005400,INTERASIA ADVANCE,Cargo,Singapore
476,412419234,UNAVAILABLE,Fishing,China
477,477097100,DONGHAI,Cargo,Hong Kong
478,431004801,KOURYOUMARU NO.3,Cargo,Japan
479,354496000,GAIA,Cargo,Panama
480,412880936,HEBEI8588,Fishing,China
481,431200176,FUGAKU MARU,Cargo,Japan
482,636013001,X PRESS KILIMANJARO,Cargo,Liberia
483,431600751,DAIFUKUMARU NO.58,Cargo,Japan
484,431002504,SANNOU NO.2,Cargo,Japan
485,431001502,ITSUKUSHIMA,Cargo,Japan
486,431017819,HEIWA MARU,Cargo,Japan
487,431017917,SHINTOMEI,Cargo,Japan
488,431008518,KYOWAMARU NO.2,Cargo,Japan
489,431020075,SHORYU,Cargo,Japan
490,431000981,DAIHATSU MARU2,Cargo,Japan
491,431000629,NANEI MARU,Cargo,Japan
492,374925000,TAIRYU,Cargo,Panama
493,636020004,IRIS WAVE,Cargo,Liberia
494,431401887,CHIKUZEN MARU,Cargo,Japan
495,477810500,GLORY GUANGZHOU,Cargo,Hong Kong
496,352692000,MELODIA,Cargo,Panama
497,563120900,ASIATIC REUNION,Cargo,Singapore
498,440160000,ZENITH QUEEN,Cargo,South Korea
499,440208000,SUPERNOVA,Cargo,South Korea
500,431004832,FUKUEI MARU NO.3,Cargo,Japan
501,636018768,HANSA HOMBURG,Cargo,Liberia
502,440296000,MIRAI BRIGHT,Cargo,South Korea
503,477524300,MILD TUNE,Cargo,Hong Kong
504,312483000,HIDEMI,Cargo,Belize
505,563147400,PACIFIC SINGAPORE,Cargo,Singapore
506,308234000,MYRIAD,Cargo,Azores
507,477030800,ECO SPLENDOR,Cargo,Hong Kong
508,311703000,MAGNA,Cargo,Bahamas
509,372048000,OCEAN SYMPHONY,Cargo,Panama
510,431301695,SUMIFUKU MARU,Cargo,Japan
511,373228000,EUPHRATES HIGHWAY,Cargo,Panama
512,431500340,UNAVAILABLE,Fishing,Japan
513,548835000,DAGAT,Cargo,Philippines
514,441261000,DONGJIN FIDES,Cargo,South Korea
515,440017000,HESED,Cargo,South Korea
516,441751000,SKY EVER,Cargo,South Korea
517,431008905,YUUKIMARU NO.18,Cargo,Japan
518,431002294,MITUHIRO7,Cargo,Japan
519,352898823,APOLLO SPLENDOR,Cargo,Panama
520,312738000,MING  HE,Cargo,Belize
521,431401879,SPINNER2,Cargo,Japan
522,431012215,TAKAOKI MARU,Cargo,Japan
523,440066000,ZENITH VEGA,Cargo,South Korea
524,372410000,GOLDEN RAINBOW,Cargo,Panama
525,431501706,KUROSHIO MARU,Cargo,Japan
526,431012203,DAI38SHINKOUMARU,Cargo,Japan
527,431016382,MIYAFUSA,Cargo,Japan
528,431100544,SEISHO MARU,Cargo,Japan
529,431018691,SUMIYOSHIMARU,Cargo,Japan
530,431865000,INO HORIZON,Cargo,Japan
531,440588000,SUNG JIN,Cargo,South Korea
532,431004834,HIKARIMARU,Cargo,Japan
533,431402015,HACHIEI MARU,Cargo,Japan
534,431001602,KOU TOKU,Cargo,Japan
535,431003459,DAISIN MARU,Cargo,Japan
536,431301565,AKI MARU,Cargo,Japan
537,431400685,KOUSEKIMARU NO2,Cargo,Japan
538,431016257,TATSURYOU,Cargo,Japan
539,431501489,MISAKI,Cargo,Japan
540,441107000,SUNNY SPRUCE,Cargo,South Korea
541,431401883,SUPINNER 3,Cargo,Japan
542,431600385,UNAVAILABLE,Cargo,Japan
543,431005007,MIDORIMARU,Cargo,Japan
544,431400325,TAKEHARA MARU,Cargo,Japan
545,373302000,KEN RYU,Cargo,Panama
546,354958000,MING XIANG DA 1,Cargo,Panama
547,355530000,JUNO PACIFIC,Cargo,Panama
548,356121000,FORESIGHTER,Cargo,Panama
